,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining
21,ZION_23147,2019-01-22 12:30:00.000000,27,68,44,2,17,10,37,45,52,3,13,4
22,ZION_23249,2015-10-19 13:30:00.000000,57,73,42,4,20,15,95,51,73,1,14,2
23,ZION_23246,2015-01-26 12:30:00.000000,56,56,42,6,24,11,82,37,94,5,37,9
24,ZION_23178,2012-10-23 13:30:00.000000,58,69,49,2,15,6,50,56,80,3,9,11
25,ZION_23243,2014-04-21 13:30:00.000000,66,52,37,8,26,18,73,39,75,5,25,9
26,ZION_23242,2014-01-27 12:30:00.000000,73,51,45,10,16,12,80,56,70,3,20,8
27,ZION_23260,2016-10-25 13:30:00.000000,46,64,36,3,19,12,64,80,62,4,11,2
28,ZION_23262,2017-04-25 13:30:00.000000,42,68,35,4,11,12,66,60,54,2,22,4
29,ZION_23215,2012-01-23 12:30:00.000000,59,49,33,8,18,3,69,59,58,10,26,11
30,ZION_23263,2017-07-25 13:30:00.000000,21,76,29,2,10,12,70,57,89,7,22,10
31,ZION_23258,2016-04-26 13:30:00.000000,65,66,32,6,18,17,90,70,85,3,29,3
32,ZION_23241,2013-10-21 13:30:00.000000,53,47,40,7,20,16,59,41,62,5,17,10
33,ZION_23240,2013-07-22 13:30:00.000000,52,54,43,7,19,19,56,64,60,11,42,6
34,ZION_23148,2019-04-23 13:30:00.000000,40,59,30,3,16,8,69,95,71,1,26,2
35,ZION_23150,2019-10-22 07:30:00.000000,42,85,38,4,32,5,72,55,51,4,22,1
36,ZION_23259,2016-07-27 13:30:00.000000,59,87,49,3,20,17,53,73,52,1,15,7
37,ZION_23216,2012-04-23 13:30:00.000000,81,55,33,3,19,7,66,35,82,3,25,8
38,ZION_23261,2017-01-24 12:30:00.000000,46,64,29,2,11,18,71,66,90,3,36,8
39,ZION_23272,2018-07-24 13:30:00.000000,26,79,33,8,16,10,62,62,63,8,28,12
40,ZION_23149,2019-07-22 13:30:00.000000,39,52,23,0,14,8,71,50,51,1,16,5
41,ZION_23265,2018-01-22 12:30:00.000000,38,97,43,9,17,9,49,70,58,9,24,5
42,ZION_23151,2018-04-23 13:30:00.000000,29,79,37,5,19,8,41,77,46,4,12,5
43,ZION_23165,2016-01-25 12:30:00.000000,59,76,45,1,15,10,92,33,89,2,15,6
44,ZION_23239,2013-04-22 13:30:00.000000,72,62,35,1,16,11,51,39,78,9,16,13
45,ZION_23145,2020-01-21 12:30:00.000000,39,48,30,4,14,3,42,37,31,5,16,3
46,ZTS_23234,2016-11-02 04:30:00.000000,36,115,13,2,14,3,51,54,19,1,46,6
47,ZTS_23181,2014-08-05 04:30:00.000000,31,54,20,8,27,2,51,55,38,4,39,6
48,ZTS_23195,2013-11-05 03:30:00.000000,33,58,27,3,21,2,36,57,31,5,36,8
49,ZTS_23168,2018-08-02 04:30:00.000000,17,93,24,1,27,1,84,101,50,7,52,6
50,ZTS_23166,2017-11-02 04:30:00.000000,28,84,20,2,16,7,49,58,24,1,39,6
51,ZTS_23183,2015-02-11 03:30:00.000000,33,85,30,5,28,5,54,94,43,0,55,11
52,ZTS_23169,2018-11-01 04:30:00.000000,16,78,19,5,20,1,68,95,37,3,53,2
53,ZTS_23232,2016-05-04 04:30:00.000000,24,91,33,4,22,4,67,92,47,1,49,8
54,ZTS_23182,2014-11-04 03:30:00.000000,22,72,30,2,16,4,79,114,50,3,56,5
55,ZTS_23194,2013-08-06 04:30:00.000000,31,61,25,2,16,7,72,67,40,0,54,4
56,ZTS_23179,2014-02-11 03:30:00.000000,34,73,38,2,22,5,67,65,47,2,72,7
57,ZTS_23193,2013-04-30 06:00:00.000000,22,45,35,0,23,2,65,58,46,6,86,8
58,ZTS_23171,2019-05-02 04:30:00.000000,47,90,29,1,23,3,63,67,40,2,59,2
59,ZTS_23257,2020-02-13 03:30:00.000000,42,80,28,1,20,9,73,109,62,7,50,3
60,ZTS_23184,2015-05-05 04:30:00.000000,29,152,48,4,62,6,66,86,26,4,74,9
61,ZTS_23235,2017-02-16 03:30:00.000000,31,109,18,6,30,3,68,106,35,6,97,8
62,ZTS_23167,2018-05-02 04:30:00.000000,17,81,17,0,15,1,78,93,46,4,78,1
63,ZTS_23230,2015-11-03 03:30:00.000000,36,125,32,2,15,4,74,101,34,11,46,7
64,ZTS_23180,2014-05-06 04:30:00.000000,56,61,28,4,26,4,59,67,32,1,67,5
65,ZTS_23231,2016-02-16 03:30:00.000000,37,95,27,4,25,6,93,104,49,9,72,7
66,ZTS_23233,2016-08-03 04:30:00.000000,49,108,38,5,20,6,63,119,36,1,82,9
67,ZTS_23255,2019-08-06 04:30:00.000000,32,84,29,1,19,4,66,64,37,0,81,2
68,ZTS_23256,2019-11-07 03:30:00.000000,51,107,22,1,25,6,67,99,61,3,53,6
69,ZTS_23170,2019-02-14 03:30:00.000000,21,88,21,1,20,8,53,91,39,2,70,5
