Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day
AAPL_3024,2016/10/25,49,160,63,1,36,7,0.005099859467397661,2016-10-25 00:00:00
AAPL_3029,2018/2/1,41,122,59,8,45,8,0.0020904623951898404,2018-02-01 00:00:00
AAPL_2875,2013/10/28,47,169,52,4,47,9,0.007453005449832517,2013-10-28 00:00:00
AAPL_3026,2017/5/2,46,161,67,8,24,8,0.00634460816048521,2017-05-02 00:00:00
AAPL_3037,2020/1/28,51,129,38,3,49,9,0.02828933448469395,2020-01-28 00:00:00
ABBV_503,2015/7/24,91,210,104,33,61,8,-0.0346000415224299,2015-07-24 00:00:00
ABBV_501,2015/1/30,68,179,85,50,66,16,-0.043884672126704,2015-01-30 00:00:00
ABBV_512,2017/10/27,134,281,110,40,90,18,0.026462737954313642,2017-10-27 00:00:00
ABBV_345,2013/4/26,100,121,82,14,27,7,0.0361663294172041,2013-04-26 00:00:00
ABBV_502,2015/4/23,114,203,107,22,86,24,-0.004184697103443269,2015-04-23 00:00:00
ABBV_683,2019/4/25,108,173,85,13,53,9,0.00851656520324906,2019-04-25 00:00:00
ABBV_684,2019/7/26,98,156,115,20,50,7,0.016501626367991795,2019-07-26 00:00:00
ABBV_681,2018/11/2,73,160,88,18,69,8,-0.008103746830795509,2018-11-02 00:00:00
ABBV_499,2014/7/25,15,56,18,5,10,3,-0.016642039486065463,2014-07-25 00:00:00
ABBV_505,2016/1/29,109,157,127,40,40,11,-0.017009793629311987,2016-01-29 00:00:00
ABBV_349,2014/4/25,100,126,82,13,48,14,-0.0036496412467470494,2014-04-25 00:00:00
ABBV_346,2013/7/26,77,109,75,12,39,13,0.01243217034795574,2013-07-26 00:00:00
ABBV_348,2014/1/31,75,158,67,11,40,13,0.019043637813969342,2014-01-31 00:00:00
ABBV_511,2017/7/28,115,194,103,39,64,11,-0.017984118990043933,2017-07-28 00:00:00
ABBV_508,2016/10/28,85,171,99,31,60,13,-0.06280508733894141,2016-10-28 00:00:00
ABBV_680,2018/7/27,94,214,91,28,62,18,-0.03598046407248845,2018-07-27 00:00:00
ABBV_507,2016/7/29,99,251,113,22,62,13,0.02333130574397213,2016-07-29 00:00:00
ABBV_686,2020/2/7,105,196,119,12,71,6,,
ABBV_506,2016/4/29,97,234,116,11,72,17,-0.0032679862818002503,2016-04-29 00:00:00
ABBV_678,2018/1/26,54,193,94,30,74,11,0.13767308968208616,2018-01-26 00:00:00
ABBV_510,2017/4/27,116,209,98,30,47,8,0.015836389372666515,2017-04-27 00:00:00
ABBV_682,2019/1/25,83,123,122,19,49,12,-0.06217974509399625,2019-01-25 00:00:00
ABBV_504,2015/10/30,159,242,189,68,101,24,0.10073938847792174,2015-10-30 00:00:00
ABBV_347,2013/10/25,100,167,76,9,43,8,0.02858332825290688,2013-10-25 00:00:00
ABBV_685,2019/11/1,93,175,73,16,36,8,0.02765552311557795,2019-11-01 00:00:00
ABC_2116,2017/11/2,103,171,75,18,86,11,-0.04424431307919341,2017-11-02 00:00:00
ABC_2106,2015/4/30,44,206,69,15,70,15,0.016542160885498314,2015-04-30 00:00:00
ABC_2274,2018/2/6,84,229,91,20,75,15,-0.003917307991014418,2018-02-06 00:00:00
ABC_1746,2012/1/26,58,145,66,25,34,4,-0.018126918393140512,2012-01-26 00:00:00
ABC_1930,2013/4/25,107,171,118,34,96,13,-0.04317448693278248,2013-04-25 00:00:00
ABC_2277,2018/11/6,84,237,56,20,80,25,-0.0514904887568084,2018-11-06 00:00:00
ABC_2113,2017/1/31,67,199,99,20,51,11,0.043769384268101515,2017-01-31 00:00:00
ABC_2276,2018/8/2,66,179,77,20,64,10,-0.006415832438566249,2018-08-02 00:00:00
ABC_1931,2013/7/24,79,188,87,50,88,9,-0.014922793586886971,2013-07-24 00:00:00
ABC_1929,2013/1/24,66,176,76,45,60,9,-0.009961002196466008,2013-01-24 00:00:00
ABC_1937,2015/1/28,47,243,72,16,70,6,0.004691457320965764,2015-01-28 00:00:00
ABC_2279,2019/5/2,72,212,61,22,52,13,0.0500067883835269,2019-05-02 00:00:00
ABC_2108,2015/10/29,58,212,79,28,85,18,-0.006974362104366971,2015-10-29 00:00:00
ABC_2111,2016/8/2,60,180,83,20,74,7,0.04547579317294948,2016-08-02 00:00:00
ABC_1932,2013/10/31,88,197,89,36,72,9,0.0016866085294804376,2013-10-31 00:00:00
ABC_2282,2020/1/30,92,195,54,31,58,13,-0.010905890833264651,2020-01-30 00:00:00
ABC_2109,2016/2/5,69,211,84,44,62,15,0.003554448068004978,2016-02-05 00:00:00
ABC_2280,2019/8/1,69,238,45,15,37,8,0.052208781901308184,2019-08-01 00:00:00
ABC_1747,2012/4/26,64,166,105,30,54,5,-0.023249598121374948,2012-04-26 00:00:00
ABC_1936,2014/10/30,39,190,71,11,65,11,0.06395784563267859,2014-10-30 00:00:00
ABC_2115,2017/8/3,90,232,101,15,67,10,-0.10474414276556243,2017-08-03 00:00:00
ABC_2278,2019/1/31,70,177,73,30,45,9,0.06163254861225265,2019-01-31 00:00:00
ABC_2110,2016/5/5,104,164,86,29,94,13,-0.07462333428885559,2016-05-05 00:00:00
ABC_1748,2012/7/26,72,170,112,19,51,7,0.0002634603776601185,2012-07-26 00:00:00
ABC_2275,2018/5/2,84,232,71,26,69,12,0.03340811052563964,2018-05-02 00:00:00
ABC_2114,2017/5/4,80,238,72,15,47,11,0.046691674075802325,2017-05-04 00:00:00
ABC_2112,2016/11/2,89,197,97,50,77,12,0.08840805399061935,2016-11-02 00:00:00
ABC_1934,2014/4/24,51,209,57,20,62,8,0.0007711760422879356,2014-04-24 00:00:00
ABC_2107,2015/7/23,52,205,69,12,54,8,-0.04201821948577278,2015-07-23 00:00:00
ABT_521,2017/7/20,81,134,73,20,58,13,0.02872745620429673,2017-07-20 00:00:00
ABT_516,2016/4/20,61,122,58,7,28,14,0.0027366647835314058,2016-04-20 00:00:00
ABT_352,2014/1/22,116,216,101,10,83,12,-0.02684047202784412,2014-01-22 00:00:00
ABT_689,2018/7/18,88,216,61,15,70,8,0.031050967939959536,2018-07-18 00:00:00
ABT_692,2019/4/17,87,151,54,10,43,10,-0.04582351565669085,2019-04-17 00:00:00
ABT_513,2015/7/22,96,152,87,8,37,12,0.024517710246287905,2015-07-22 00:00:00
ABT_181,2013/4/17,72,168,118,17,58,14,0.02417574770683251,2013-04-17 00:00:00
ABT_354,2014/7/16,98,167,70,10,61,8,-0.002914717931060795,2014-07-16 00:00:00
ABT_691,2019/1/23,70,199,82,11,45,19,-0.02210091269929781,2019-01-23 00:00:00
ABT_356,2015/1/29,100,263,112,10,62,9,0.042616873545816995,2015-01-29 00:00:00
ABT_179,2012/10/17,105,305,133,12,136,22,-0.0428393193194252,2012-10-17 00:00:00
ABT_690,2018/10/17,71,152,60,15,59,7,-0.010147901652960312,2018-10-17 00:00:00
ABT_688,2018/4/18,71,167,71,20,48,8,-0.004682253894133015,2018-04-18 00:00:00
ABT_355,2014/10/22,93,212,82,10,63,15,-0.01887235783390706,2014-10-22 00:00:00
ABT_695,2020/1/22,76,215,59,8,38,4,0.023737848810114537,2020-01-22 00:00:00
ABT_517,2016/7/20,89,131,88,8,49,7,0.020334983357242157,2016-07-20 00:00:00
ABT_357,2015/4/22,72,245,90,12,57,12,0.026103556241891646,2015-04-22 00:00:00
ABT_351,2013/10/16,140,220,119,8,76,19,0.06496595968212282,2013-10-16 00:00:00
ABT_519,2017/1/25,85,159,87,12,54,4,0.0,2017-01-25 00:00:00
ABT_687,2018/1/24,100,226,63,17,42,7,0.042039535669609496,2018-01-24 00:00:00
ABT_176,2012/1/25,75,198,119,7,50,8,-0.01339763973163388,2012-01-25 00:00:00
ABT_515,2016/1/28,109,181,107,17,44,16,-0.09290837713903932,2016-01-28 00:00:00
ABT_522,2017/10/18,73,146,61,13,37,7,0.012895006661170605,2017-10-18 00:00:00
ABT_693,2019/7/17,78,172,67,9,62,5,0.03126501153950456,2019-07-17 00:00:00
ABT_177,2012/4/18,66,168,67,6,47,6,0.0004964025942133522,2012-04-18 00:00:00
ABT_180,2013/1/23,80,177,108,9,78,9,-0.002735566821086555,2013-01-23 00:00:00
ABT_350,2013/7/17,125,204,106,11,61,9,0.003361314546786787,2013-07-17 00:00:00
ABT_520,2017/4/19,110,167,90,19,51,10,0.0036840857998576846,2017-04-19 00:00:00
ABT_694,2019/10/16,73,188,67,10,27,7,-0.0024396751579274234,2019-10-16 00:00:00
ACN_723,2014/6/26,53,209,72,9,46,8,-0.018420404819029183,2014-06-26 00:00:00
ACN_670,2018/3/22,50,164,68,19,46,4,-0.0728260392560438,2018-03-22 00:00:00
ACN_677,2019/12/19,49,187,51,0,43,4,0.012344520862812793,2019-12-19 00:00:00
ACN_497,2015/9/24,65,163,93,5,53,12,-0.0009197217118720457,2015-09-24 00:00:00
ACN_665,2016/12/21,65,172,83,6,37,7,-0.04995968593452549,2016-12-21 00:00:00
ACN_727,2013/6/27,88,154,100,27,52,10,0.008295672226778185,2013-06-27 00:00:00
ACN_340,2012/3/22,64,163,53,14,37,2,-0.003607835956648264,2012-03-22 00:00:00
ACN_667,2017/6/22,60,174,76,6,54,5,-0.039572014437448184,2017-06-22 00:00:00
ACN_495,2015/3/26,60,177,85,13,52,4,0.0675660259191837,2015-03-26 00:00:00
ACN_662,2016/3/24,85,170,68,3,39,4,0.061675637783629174,2016-03-24 00:00:00
ACN_724,2014/3/27,63,168,104,25,65,4,-0.050259106997636034,2014-03-27 00:00:00
ACN_726,2013/9/26,55,185,101,4,60,7,-0.003284287847864387,2013-09-26 00:00:00
ACN_342,2012/9/27,74,164,77,19,52,7,0.01600619741601239,2012-09-27 00:00:00
ACN_498,2015/12/17,64,146,86,4,43,4,-0.05335533184018781,2015-12-17 00:00:00
ACN_344,2013/3/28,70,186,71,12,63,7,0.014556677447466138,2013-03-28 00:00:00
ACN_725,2013/12/19,49,145,84,8,49,8,0.05144140767469452,2013-12-19 00:00:00
ACN_672,2018/9/27,54,155,80,6,42,5,-0.01688152944636634,2018-09-27 00:00:00
ACN_675,2019/6/27,63,173,68,6,45,5,-0.0016911110289806741,2019-06-27 00:00:00
ACN_669,2017/12/21,44,189,74,9,42,7,0.016144955177872733,2017-12-21 00:00:00
ACN_343,2012/12/19,71,155,69,19,53,6,-0.010123751306206574,2012-12-19 00:00:00
ACN_664,2016/9/29,58,178,98,3,54,4,0.042777520775792784,2016-09-29 00:00:00
ACN_676,2019/9/26,63,137,53,4,35,7,0.006548960192682696,2019-09-26 00:00:00
ACN_721,2014/12/18,75,185,74,21,43,7,0.05205151996674196,2014-12-18 00:00:00
ACN_722,2014/9/24,41,185,78,12,65,6,0.007537669417370107,2014-09-24 00:00:00
ACN_663,2016/6/23,56,192,81,3,61,7,-0.0010081081947248551,2016-06-23 00:00:00
ACN_666,2017/3/23,66,185,71,10,62,7,-0.04522454988051328,2017-03-23 00:00:00
ACN_671,2018/6/28,59,206,59,9,48,4,0.05896745125566261,2018-06-28 00:00:00
ADBE_469,2016/3/17,49,208,61,0,40,10,0.02030170072247772,2016-03-17 00:00:00
ADBE_632,2019/6/18,48,218,53,3,33,7,0.004281540818754648,2019-06-18 00:00:00
ADBE_631,2019/3/14,58,227,81,4,31,12,0.01251984831478059,2019-03-14 00:00:00
ADBE_628,2018/6/14,60,226,66,6,41,9,0.0076914113268551345,2018-06-14 00:00:00
ADBE_305,2012/9/19,35,194,77,3,71,3,0.01688668229087975,2012-09-19 00:00:00
ADBE_468,2015/12/10,62,238,74,6,35,8,-0.006699402528774656,2015-12-10 00:00:00
ADBE_464,2014/9/16,50,224,65,14,41,5,0.0065462748803557505,2014-09-16 00:00:00
ADBE_461,2013/12/12,67,226,73,9,47,3,-0.011896005095944129,2013-12-12 00:00:00
ADBE_472,2016/12/15,62,246,72,4,49,6,-0.0067101323207146004,2016-12-15 00:00:00
ADBE_304,2012/6/19,54,139,63,6,43,6,0.007968075789837048,2012-06-19 00:00:00
ADBE_625,2017/9/19,64,254,68,4,60,6,0.005328380357510376,2017-09-19 00:00:00
ADBE_634,2019/12/12,39,223,77,0,37,8,0.0073088868508559566,2019-12-12 00:00:00
ADBE_473,2017/3/16,47,164,50,3,51,6,0.001965423491687268,2017-03-16 00:00:00
ADBE_462,2014/3/18,44,181,50,6,58,1,0.005134201019834085,2014-03-18 00:00:00
ADBE_467,2015/9/18,57,256,81,13,54,6,0.01170467525815111,2015-09-18 00:00:00
ADBE_460,2013/9/17,50,167,57,8,33,4,0.0,2013-09-17 00:00:00
ADBE_624,2017/6/20,54,197,61,3,46,5,0.003990007369010895,2017-06-20 00:00:00
ADBE_458,2013/3/19,42,192,58,6,46,5,-0.007549960129632827,2013-03-19 00:00:00
ADBE_465,2015/3/17,64,179,49,3,43,3,0.016979468913115747,2015-03-17 00:00:00
ADBE_466,2015/6/16,51,273,61,0,52,4,0.013181253427304808,2015-06-16 00:00:00
ADBE_630,2018/12/13,56,205,83,4,46,7,0.010303395430068862,2018-12-13 00:00:00
ADBE_303,2012/3/19,54,173,68,3,58,4,0.02040208849601433,2012-03-19 00:00:00
ADBE_306,2012/12/13,40,221,107,9,70,4,-0.011957739602987185,2012-12-13 00:00:00
ADBE_633,2019/9/17,56,213,73,2,39,7,0.006220654618408927,2019-09-17 00:00:00
ADBE_626,2017/12/14,46,220,68,2,56,4,-0.01034893294183803,2017-12-14 00:00:00
ADBE_471,2016/9/20,53,213,61,3,44,6,0.009430201028575171,2016-09-20 00:00:00
ADBE_470,2016/6/21,53,158,56,4,35,5,0.01765489738390169,2016-06-21 00:00:00
ADI_2210,2016/2/17,92,138,106,1,49,12,0.012675242006535248,2016-02-17 00:00:00
ADI_2226,2020/2/19,80,127,63,6,32,11,,
ADI_2217,2017/11/21,42,115,32,2,29,5,-0.030944421004206024,2017-11-21 00:00:00
ADI_2075,2015/11/24,125,194,93,1,60,8,0.06373237641740692,2015-11-24 00:00:00
ADI_2072,2015/2/18,99,186,105,2,43,10,-0.007311686705232191,2015-02-18 00:00:00
ADI_1875,2013/2/19,79,120,110,1,38,18,0.017973105475800555,2013-02-19 00:00:00
ADI_1878,2013/11/26,99,163,120,5,60,10,0.005235568311157568,2013-11-26 00:00:00
ADI_2223,2019/5/22,79,109,67,1,23,13,0.015618794862701124,2019-05-22 00:00:00
ADI_2221,2018/11/20,78,141,50,1,39,5,0.04092610076457204,2018-11-20 00:00:00
ADI_2068,2014/2/18,69,130,94,6,39,8,0.00906045066624217,2014-02-18 00:00:00
ADI_2071,2014/11/25,92,143,90,3,67,7,-0.0017374547087540824,2014-11-25 00:00:00
ADI_1874,2012/11/27,104,105,131,4,44,14,-0.0066864896142082575,2012-11-27 00:00:00
ADI_2218,2018/2/28,82,164,54,2,26,6,-0.022870155663295418,2018-02-28 00:00:00
ADI_2220,2018/8/22,56,122,43,0,37,10,0.020850709322130845,2018-08-22 00:00:00
ADI_2212,2016/8/17,127,218,94,6,54,7,-0.010480892940234464,2016-08-17 00:00:00
ADI_2224,2019/8/21,93,109,55,5,43,11,-0.015413950163431169,2019-08-21 00:00:00
ADI_2073,2015/5/19,110,171,84,2,38,12,0.0014204569400395606,2015-05-19 00:00:00
ADI_2216,2017/8/30,47,130,57,3,26,4,0.05241983669355954,2017-08-30 00:00:00
ADI_2222,2019/2/20,78,114,59,2,40,10,0.02494721208662409,2019-02-20 00:00:00
ADI_2214,2017/2/15,91,238,86,3,47,8,0.04830424348825657,2017-02-15 00:00:00
ADI_2211,2016/5/18,94,135,103,2,55,11,0.008127158598883799,2016-05-18 00:00:00
ADI_2215,2017/5/31,66,196,78,1,66,6,0.011320743513260512,2017-05-31 00:00:00
ADI_2069,2014/5/20,84,153,89,3,54,10,0.0,2014-05-20 00:00:00
ADI_2074,2015/8/18,129,177,97,1,56,18,-0.026890730657497364,2015-08-18 00:00:00
ADI_1876,2013/5/21,101,181,98,2,55,14,-0.006613986892644586,2013-05-21 00:00:00
ADI_1872,2012/5/22,72,108,114,4,48,7,-0.0019514830473551517,2012-05-22 00:00:00
ADI_2213,2016/11/22,120,185,86,1,44,4,0.04397020493043336,2016-11-22 00:00:00
ADI_1877,2013/8/20,96,161,131,5,49,16,0.001465041787622523,2013-08-20 00:00:00
ADI_1871,2012/2/22,90,98,105,2,54,12,-0.009206243954407056,2012-02-22 00:00:00
ADM_2993,2017/10/31,80,140,83,7,65,12,-0.04531657040816195,2017-10-31 00:00:00
ADM_2680,2013/5/1,98,125,77,14,70,13,-0.010606859464366571,2013-05-01 00:00:00
ADM_2682,2013/10/29,81,174,107,10,65,18,0.02233934202408938,2013-10-29 00:00:00
ADM_2542,2012/1/31,177,147,113,10,65,22,-0.036351395388312,2012-01-31 00:00:00
ADM_2998,2019/2/5,87,195,94,8,62,5,-0.059339247128495136,2019-02-05 00:00:00
ADM_2849,2016/11/1,83,169,61,7,40,12,0.07298600705644588,2016-11-01 00:00:00
ADM_2684,2014/4/29,135,172,101,8,58,11,-0.025912606989663245,2014-04-29 00:00:00
ADM_2686,2014/11/4,103,200,94,2,42,9,0.04846562784184849,2014-11-04 00:00:00
ADM_2846,2016/2/2,150,194,121,4,70,8,-0.08742240705467286,2016-02-02 00:00:00
ADM_2687,2015/2/3,129,241,103,3,60,9,0.012248290949038454,2015-02-03 00:00:00
ADM_2995,2018/5/1,75,245,92,8,83,12,-0.0077126989991253,2018-05-01 00:00:00
ADM_2996,2018/7/31,84,231,93,4,70,11,0.01921858240205565,2018-07-31 00:00:00
ADM_2848,2016/8/2,104,156,87,1,47,13,-0.017857162874201804,2016-08-02 00:00:00
ADM_2847,2016/5/3,124,194,122,6,55,9,-0.028812714748467364,2016-05-03 00:00:00
ADM_2843,2015/5/5,92,189,95,5,64,12,0.0005961601645232406,2015-05-05 00:00:00
ADM_2844,2015/8/4,82,156,65,3,49,10,0.01488467658525261,2015-08-04 00:00:00
ADM_2677,2012/7/31,107,85,90,16,57,14,-0.05092759658736545,2012-07-31 00:00:00
ADM_2994,2018/2/6,86,210,82,10,69,5,0.034482797499888695,2018-02-06 00:00:00
