Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26,nearest_day_return,nearest_day
A_757,2015/2/17,19,45,12,4,22,3,588,48,78,118,58,2,36,4,768,330,0.009215415138808414,2015-02-17 00:00:00
A_129,2013/5/14,29,28,13,1,22,3,516,54,159,109,93,8,61,14,1128,630,0.02160778927425966,2013-05-14 00:00:00
A_394,2016/8/17,19,37,10,0,18,1,648,54,93,115,108,2,40,4,882,432,0.0031069082367753964,2016-08-17 00:00:00
A_391,2015/11/17,13,45,12,0,27,11,690,30,81,94,85,1,39,8,888,360,0.028127489567574937,2015-11-17 00:00:00
AAL_1452,2018/10/25,30,118,32,1,49,7,840,90,83,174,47,15,42,6,570,390,0.06690833121580342,2018-10-25 00:00:00
AAL_1450,2018/4/26,22,93,24,2,26,7,642,90,47,87,56,1,27,7,420,204,-0.0636464324445356,2018-04-26 00:00:00
AAL_1303,2015/10/23,24,57,29,2,25,3,420,90,86,119,64,6,26,6,600,480,-0.0069581104118836565,2015-10-23 00:00:00
AAL_1301,2015/4/24,28,49,28,3,24,2,432,132,93,90,86,2,47,7,402,528,0.02448976293195337,2015-04-24 00:00:00
AAL_1310,2017/7/28,11,74,27,1,17,5,504,30,82,149,61,11,50,10,564,354,0.009800033569336009,2017-07-28 00:00:00
AAL_1309,2017/4/27,26,88,32,9,26,7,588,66,96,171,106,9,54,15,774,498,-0.05215521344956975,2017-04-27 00:00:00
AAL_1299,2014/7/24,22,53,40,4,21,8,528,96,71,100,69,10,48,7,474,408,-0.02700212172167593,2014-07-24 00:00:00
AAL_1453,2019/1/24,26,99,36,2,41,8,852,72,108,119,68,6,44,4,606,360,0.06350711700182865,2019-01-24 00:00:00
AAL_1307,2016/10/20,27,75,27,1,29,4,504,102,102,172,66,3,64,9,408,516,-0.0009845167234990848,2016-10-20 00:00:00
AAL_1311,2017/10/26,37,70,26,2,20,4,492,42,107,164,81,5,46,5,498,408,-0.04723637447646045,2017-10-26 00:00:00
AAL_1308,2017/1/27,21,67,22,2,25,4,558,36,91,138,83,14,88,7,702,564,-0.05323652715315963,2017-01-27 00:00:00
AAL_1306,2016/7/22,23,43,24,3,33,3,576,90,128,91,99,7,79,19,450,480,0.04004581128552465,2016-07-22 00:00:00
AAL_1449,2018/1/25,15,97,29,3,31,5,804,54,58,113,52,2,34,2,528,312,-0.031757650107534174,2018-01-25 00:00:00
AAL_1300,2015/1/27,18,59,31,5,32,7,546,114,101,127,81,11,72,0,408,510,-0.04959422835279725,2015-01-27 00:00:00
AAL_1451,2018/7/26,35,104,29,2,42,10,918,114,91,111,61,3,30,7,558,348,0.04791835288977553,2018-07-26 00:00:00
AAL_1456,2019/10/24,38,98,35,6,52,13,750,102,99,135,89,11,77,9,666,390,0.039589922079855455,2019-10-24 00:00:00
AAL_1457,2020/1/23,34,110,29,3,43,8,804,84,109,125,78,26,59,8,504,336,0.05417275105302122,2020-01-23 00:00:00
AAL_1454,2019/4/26,54,78,57,3,31,7,762,90,83,101,83,12,44,3,534,402,-0.010475859794061182,2019-04-26 00:00:00
AAL_1455,2019/7/25,61,94,35,12,40,11,774,138,90,155,67,13,52,2,516,306,-0.08441746352740276,2019-07-25 00:00:00
AAP_807,2013/8/8,34,139,32,3,27,9,810,96,34,62,30,1,11,2,372,120,-0.007777365202674025,2013-08-08 00:00:00
AAP_611,2016/5/19,50,109,24,2,35,11,456,120,96,134,56,3,41,8,282,270,-0.0018775069678373946,2016-05-19 00:00:00
AAP_619,2018/5/22,12,94,15,2,17,5,408,60,113,247,60,0,36,3,540,426,-0.03206042506004103,2018-05-22 00:00:00
AAP_707,2020/2/18,34,133,24,3,20,4,636,66,37,107,28,3,11,11,462,168,,
AAP_615,2017/5/24,38,103,20,4,24,3,582,162,73,155,48,1,22,9,888,300,-0.054315364643392816,2017-05-24 00:00:00
AAP_617,2017/11/14,30,89,9,2,19,1,408,66,116,187,72,0,35,2,714,420,0.16334470880896498,2017-11-14 00:00:00
AAP_710,2019/5/22,15,105,18,2,21,6,408,36,61,115,45,0,22,9,414,186,0.030936082702824438,2019-05-22 00:00:00
AAP_621,2018/11/13,21,104,15,3,15,2,474,72,91,207,40,0,34,5,690,294,0.10571054663110124,2018-11-13 00:00:00
AAP_804,2012/11/8,47,100,46,2,35,9,462,168,48,53,43,2,26,3,252,204,-0.004513548153329827,2012-11-08 00:00:00
AAP_614,2017/2/21,19,117,13,3,22,1,582,66,94,181,32,1,30,7,816,456,-0.0026612695240585404,2017-02-21 00:00:00
AAP_610,2016/2/11,37,111,22,2,41,6,318,66,75,103,44,0,47,5,270,276,-0.0011546774457116273,2016-02-11 00:00:00
AAP_288,2012/5/17,20,95,29,2,19,7,390,48,63,73,53,3,27,2,348,378,-0.16967113963548594,2012-05-17 00:00:00
AAP_287,2012/2/16,25,129,35,2,30,8,558,90,34,75,35,0,15,2,264,138,0.08186397827563585,2012-02-16 00:00:00
AAP_620,2018/8/14,21,135,16,1,35,6,456,48,85,197,63,0,34,9,516,324,0.0779481416071286,2018-08-14 00:00:00
AAP_708,2019/11/12,22,114,20,2,15,3,564,66,67,170,44,0,31,7,576,246,-0.07510962791405618,2019-11-12 00:00:00
AAP_806,2013/5/23,37,98,28,3,25,4,420,120,48,98,47,0,28,7,354,186,-0.02004663356090508,2013-05-23 00:00:00
AAP_732,2014/2/6,32,213,42,3,71,10,1020,96,17,15,14,2,6,0,84,126,0.12740406871649254,2014-02-06 00:00:00
AAP_808,2013/10/31,42,135,47,2,40,12,948,132,38,55,27,1,15,2,324,168,-0.008199996948242139,2013-10-31 00:00:00
AAP_618,2018/2/21,19,99,12,3,22,3,480,96,83,170,51,1,61,12,780,330,0.08210727718238897,2018-02-21 00:00:00
AAP_613,2016/11/15,24,213,14,2,45,6,984,138,116,189,87,3,42,10,780,390,0.14996507242746304,2016-11-15 00:00:00
AAP_451,2015/5/21,43,108,43,4,32,18,570,108,51,80,30,0,31,2,288,174,0.0507005097596196,2015-05-21 00:00:00
AAP_289,2012/8/9,55,63,35,3,28,6,402,138,59,70,42,2,16,1,252,210,-0.03755138922118007,2012-08-09 00:00:00
AAP_612,2016/8/16,40,88,16,4,33,1,390,120,100,160,43,0,34,3,678,324,-0.04387220345343812,2016-08-16 00:00:00
AAP_609,2015/11/12,42,150,44,3,48,9,474,102,86,79,40,0,24,4,210,186,-0.1542610523540211,2015-11-12 00:00:00
AAP_622,2019/2/19,15,94,11,3,15,6,414,42,55,113,31,1,23,1,408,144,-0.01676572746290217,2019-02-19 00:00:00
AAP_805,2013/2/7,50,156,54,2,47,6,660,150,36,59,30,0,21,1,252,192,0.05816183504830753,2013-02-07 00:00:00
AAP_449,2014/11/6,23,143,28,2,35,7,738,54,33,77,26,0,17,0,168,168,-0.025507114434894614,2014-11-06 00:00:00
AAP_709,2019/8/13,27,98,23,1,19,6,558,96,85,147,63,6,21,7,486,354,0.0004923470992308498,2019-08-13 00:00:00
AAP_731,2014/5/15,27,182,26,4,28,5,726,78,30,83,33,0,9,0,354,108,0.00885174575838743,2014-05-15 00:00:00
AAPL_3022,2016/4/26,34,76,16,1,20,6,900,168,42,62,47,2,26,5,330,186,-0.006947119758403453,2016-04-26 00:00:00
AAPL_3034,2019/4/30,23,105,14,2,29,8,936,102,34,46,28,5,25,0,264,90,-0.01925615771298184,2019-04-30 00:00:00
AAPL_3025,2017/1/31,12,88,13,0,12,5,774,78,43,87,38,9,20,4,402,174,-0.002302053651398905,2017-01-31 00:00:00
AAPL_3036,2019/10/30,26,114,24,2,19,8,870,126,29,63,44,0,34,2,372,114,-0.000123304616403197,2019-10-30 00:00:00
AAPL_2876,2014/1/27,10,79,11,0,6,5,690,24,34,89,25,3,24,2,420,246,0.008112527355941035,2014-01-27 00:00:00
AAPL_2878,2014/7/22,13,83,11,1,15,3,624,54,35,59,39,6,16,0,324,120,0.008303159027309936,2014-07-22 00:00:00
AAPL_2872,2013/1/23,10,67,14,6,14,5,570,24,67,87,58,0,37,12,540,240,0.018305362413694626,2013-01-23 00:00:00
AAPL_3027,2017/8/1,13,86,20,0,17,5,606,48,37,65,64,7,24,6,246,114,0.008875192376371022,2017-08-01 00:00:00
AAPL_2879,2014/10/20,13,68,9,1,24,6,666,78,42,93,55,3,35,5,300,156,0.021398628099387862,2014-10-20 00:00:00
AAPL_3030,2018/5/1,9,81,26,1,21,3,780,60,34,78,45,1,19,1,408,102,0.02323618373665659,2018-05-01 00:00:00
AAPL_2873,2013/4/23,17,93,16,3,30,3,954,78,49,85,41,0,24,3,570,198,0.018712177282424136,2013-04-23 00:00:00
AAPL_2869,2012/4/24,6,27,9,0,6,1,396,6,56,111,64,6,32,9,480,456,-0.019975455955097643,2012-04-24 00:00:00
AAPL_2870,2012/7/24,6,40,9,1,11,1,402,24,54,100,62,4,34,7,486,234,-0.004819281157724231,2012-07-24 00:00:00
AAPL_2868,2012/1/24,3,47,8,0,6,1,462,6,34,77,44,0,27,2,456,288,-0.016377717098278174,2012-01-24 00:00:00
AAPL_2877,2014/4/23,16,90,27,3,26,3,822,84,35,90,37,1,20,2,288,180,-0.01307130326827777,2014-04-23 00:00:00
AAPL_3019,2015/7/21,15,104,12,1,19,3,774,66,43,78,42,1,25,1,270,138,-0.009994754683235962,2015-07-21 00:00:00
AAPL_2871,2012/10/25,9,36,12,4,8,3,504,48,64,103,50,0,49,8,498,324,-0.011818480837501588,2012-10-25 00:00:00
AAPL_3021,2016/1/26,28,88,19,1,16,3,798,66,67,61,52,2,28,2,396,180,0.005530927281376163,2016-01-26 00:00:00
AAPL_2880,2015/1/27,14,83,16,0,9,3,600,78,35,74,55,6,25,3,384,192,-0.035013254976999475,2015-01-27 00:00:00
AAPL_3032,2018/11/1,8,90,19,0,24,5,888,72,32,57,33,2,22,1,336,78,0.015352282742306931,2018-11-01 00:00:00
AAPL_3028,2017/11/2,9,84,12,2,18,3,762,42,31,81,47,0,26,2,390,162,0.007310211667355347,2017-11-02 00:00:00
AAPL_3020,2015/10/27,15,82,12,2,12,3,654,48,45,60,45,1,26,1,420,168,-0.006332371055421615,2015-10-27 00:00:00
AAPL_3023,2016/7/26,13,97,18,0,22,2,696,96,40,65,34,1,26,2,354,216,-0.006883071647337924,2016-07-26 00:00:00
AAPL_3031,2018/7/31,13,86,20,2,31,8,786,42,38,56,45,0,17,2,336,84,0.0020008931425199443,2018-07-31 00:00:00
AAPL_3024,2016/10/25,7,80,13,0,11,3,642,72,42,80,50,1,25,4,444,168,0.005099859467397661,2016-10-25 00:00:00
AAPL_3029,2018/2/1,7,75,18,4,18,5,840,36,34,47,41,4,27,3,516,150,0.0020904623951898404,2018-02-01 00:00:00
AAPL_2875,2013/10/28,14,81,17,1,11,4,732,66,33,88,35,3,36,5,432,174,0.007453005449832517,2013-10-28 00:00:00
AAPL_3026,2017/5/2,10,100,15,0,8,5,888,72,36,61,52,8,16,3,288,186,0.00634460816048521,2017-05-02 00:00:00
AAPL_3037,2020/1/28,13,73,8,0,12,4,834,48,38,56,30,3,37,5,642,180,0.02828933448469395,2020-01-28 00:00:00
ABBV_503,2015/7/24,28,138,45,19,21,5,744,30,63,72,59,14,40,3,294,222,-0.0346000415224299,2015-07-24 00:00:00
ABBV_501,2015/1/30,21,102,32,29,26,9,618,42,47,77,53,21,40,7,180,240,-0.043884672126704,2015-01-30 00:00:00
ABBV_512,2017/10/27,43,185,50,24,42,12,1188,78,91,96,60,16,48,6,192,174,0.026462737954313642,2017-10-27 00:00:00
ABBV_345,2013/4/26,42,56,35,12,13,3,378,78,58,65,47,2,14,4,162,192,0.0361663294172041,2013-04-26 00:00:00
ABBV_502,2015/4/23,35,106,28,13,27,12,768,36,79,97,79,9,59,12,564,240,-0.004184697103443269,2015-04-23 00:00:00
ABBV_683,2019/4/25,21,88,39,10,20,7,492,48,87,85,46,3,33,2,348,168,0.00851656520324906,2019-04-25 00:00:00
ABBV_684,2019/7/26,21,82,54,12,21,2,642,42,77,74,61,8,29,5,96,198,0.016501626367991795,2019-07-26 00:00:00
ABBV_681,2018/11/2,17,101,28,9,33,6,606,30,56,59,60,9,36,2,294,120,-0.008103746830795509,2018-11-02 00:00:00
ABBV_499,2014/7/25,15,56,18,5,10,3,294,42,0,0,0,0,0,0,0,0,-0.016642039486065463,2014-07-25 00:00:00
ABBV_505,2016/1/29,28,89,46,17,18,8,804,48,81,68,81,23,22,3,258,192,-0.017009793629311987,2016-01-29 00:00:00
ABBV_349,2014/4/25,30,68,28,11,16,5,396,36,70,58,54,2,32,9,198,228,-0.0036496412467470494,2014-04-25 00:00:00
ABBV_346,2013/7/26,26,64,33,9,19,8,372,60,51,45,42,3,20,5,162,144,0.01243217034795574,2013-07-26 00:00:00
ABBV_348,2014/1/31,40,91,38,10,15,7,492,60,35,67,29,1,25,6,204,132,0.019043637813969342,2014-01-31 00:00:00
ABBV_511,2017/7/28,17,73,23,20,8,3,432,48,98,121,80,19,56,8,258,246,-0.017984118990043933,2017-07-28 00:00:00
ABBV_508,2016/10/28,23,96,27,14,32,10,750,36,62,75,72,17,28,3,426,222,-0.06280508733894141,2016-10-28 00:00:00
ABBV_680,2018/7/27,22,105,37,14,21,6,588,24,72,109,54,14,41,12,432,126,-0.03598046407248845,2018-07-27 00:00:00
ABBV_507,2016/7/29,30,127,45,9,15,7,546,30,69,124,68,13,47,6,258,198,0.02333130574397213,2016-07-29 00:00:00
ABBV_686,2020/2/7,27,98,65,10,38,4,942,48,78,98,54,2,33,2,456,168,,
ABBV_506,2016/4/29,32,124,30,7,32,12,666,48,65,110,86,4,40,5,354,252,-0.0032679862818002503,2016-04-29 00:00:00
ABBV_678,2018/1/26,16,120,47,23,34,7,834,66,38,73,47,7,40,4,360,150,0.13767308968208616,2018-01-26 00:00:00
ABBV_510,2017/4/27,30,83,32,14,14,3,480,48,86,126,66,16,33,5,252,240,0.015836389372666515,2017-04-27 00:00:00
ABBV_682,2019/1/25,32,75,55,13,21,8,678,78,51,48,67,6,28,4,306,174,-0.06217974509399625,2019-01-25 00:00:00
ABBV_504,2015/10/30,61,165,83,38,57,20,1602,90,98,77,106,30,44,4,378,324,0.10073938847792174,2015-10-30 00:00:00
ABBV_347,2013/10/25,27,81,31,8,16,4,348,60,73,86,45,1,27,4,132,156,0.02858332825290688,2013-10-25 00:00:00
ABBV_685,2019/11/1,21,101,38,10,15,5,630,36,72,74,35,6,21,3,234,90,0.02765552311557795,2019-11-01 00:00:00
ABC_2116,2017/11/2,51,121,31,8,54,7,1020,144,52,50,44,10,32,4,360,132,-0.04424431307919341,2017-11-02 00:00:00
ABC_2106,2015/4/30,19,132,27,5,35,11,876,84,25,74,42,10,35,4,348,210,0.016542160885498314,2015-04-30 00:00:00
ABC_2274,2018/2/6,18,123,28,8,39,11,906,36,66,106,63,12,36,4,474,282,-0.003917307991014418,2018-02-06 00:00:00
ABC_1746,2012/1/26,18,81,15,4,10,3,510,78,40,64,51,21,24,1,336,216,-0.018126918393140512,2012-01-26 00:00:00
ABC_1930,2013/4/25,51,107,42,20,54,8,708,108,56,64,76,14,42,5,444,282,-0.04317448693278248,2013-04-25 00:00:00
ABC_2277,2018/11/6,37,172,30,8,58,13,1134,114,47,65,26,12,22,12,300,198,-0.0514904887568084,2018-11-06 00:00:00
ABC_2113,2017/1/31,25,125,36,4,26,9,882,66,42,74,63,16,25,2,360,228,0.043769384268101515,2017-01-31 00:00:00
ABC_2276,2018/8/2,23,125,26,8,36,8,774,132,43,54,51,12,28,2,222,210,-0.006415832438566249,2018-08-02 00:00:00
ABC_1931,2013/7/24,50,108,45,35,48,5,618,138,29,80,42,15,40,4,432,192,-0.014922793586886971,2013-07-24 00:00:00
ABC_1929,2013/1/24,21,82,24,9,16,3,564,72,45,94,52,36,44,6,540,336,-0.009961002196466008,2013-01-24 00:00:00
ABC_1937,2015/1/28,17,121,30,4,42,6,948,60,30,122,42,12,28,0,390,252,0.004691457320965764,2015-01-28 00:00:00
ABC_2279,2019/5/2,21,107,21,13,26,10,696,72,51,105,40,9,26,3,438,210,0.0500067883835269,2019-05-02 00:00:00
ABC_2108,2015/10/29,35,132,43,18,45,13,1026,120,23,80,36,10,40,5,444,252,-0.006974362104366971,2015-10-29 00:00:00
ABC_2111,2016/8/2,22,109,40,7,49,7,672,60,38,71,43,13,25,0,342,216,0.04547579317294948,2016-08-02 00:00:00
ABC_1932,2013/10/31,50,124,46,26,55,6,888,126,38,73,43,10,17,3,360,150,0.0016866085294804376,2013-10-31 00:00:00
ABC_2282,2020/1/30,41,106,13,16,31,11,540,108,51,89,41,15,27,2,504,204,-0.010905890833264651,2020-01-30 00:00:00
ABC_2109,2016/2/5,29,115,31,15,30,9,846,108,40,96,53,29,32,6,558,294,0.003554448068004978,2016-02-05 00:00:00
ABC_2280,2019/8/1,24,110,14,8,20,8,690,60,45,128,31,7,17,0,654,204,0.052208781901308184,2019-08-01 00:00:00
ABC_1747,2012/4/26,24,95,25,9,26,2,600,90,40,71,80,21,28,3,252,198,-0.023249598121374948,2012-04-26 00:00:00
ABC_1936,2014/10/30,19,131,32,7,42,5,1086,78,20,59,39,4,23,6,318,210,0.06395784563267859,2014-10-30 00:00:00
ABC_2115,2017/8/3,45,155,39,6,35,7,906,156,45,77,62,9,32,3,486,354,-0.10474414276556243,2017-08-03 00:00:00
ABC_2278,2019/1/31,39,115,27,15,36,6,708,90,31,62,46,15,9,3,318,126,0.06163254861225265,2019-01-31 00:00:00
ABC_2110,2016/5/5,50,95,49,14,64,9,924,120,54,69,37,15,30,4,342,174,-0.07462333428885559,2016-05-05 00:00:00
ABC_1748,2012/7/26,31,97,38,6,24,5,756,132,41,73,74,13,27,2,402,288,0.0002634603776601185,2012-07-26 00:00:00
ABC_2275,2018/5/2,50,137,40,12,39,11,918,114,34,95,31,14,30,1,390,300,0.03340811052563964,2018-05-02 00:00:00
ABC_2114,2017/5/4,32,149,35,7,31,9,1110,96,48,89,37,8,16,2,360,246,0.046691674075802325,2017-05-04 00:00:00
ABC_2112,2016/11/2,36,140,52,18,54,10,1122,150,53,57,45,32,23,2,354,264,0.08840805399061935,2016-11-02 00:00:00
ABC_1934,2014/4/24,24,149,19,11,43,6,738,48,27,60,38,9,19,2,258,192,0.0007711760422879356,2014-04-24 00:00:00
ABC_2107,2015/7/23,14,125,22,8,22,7,906,42,38,80,47,4,32,1,432,318,-0.04201821948577278,2015-07-23 00:00:00
ABT_521,2017/7/20,16,30,19,7,12,3,330,24,65,104,54,13,46,10,372,228,0.02872745620429673,2017-07-20 00:00:00
ABT_516,2016/4/20,9,22,12,3,8,3,318,18,52,100,46,4,20,11,594,204,0.0027366647835314058,2016-04-20 00:00:00
ABT_352,2014/1/22,40,78,30,3,40,4,1050,90,76,138,71,7,43,8,780,300,-0.02684047202784412,2014-01-22 00:00:00
ABT_689,2018/7/18,11,52,11,3,16,3,384,6,77,164,50,12,54,5,810,246,0.031050967939959536,2018-07-18 00:00:00
ABT_692,2019/4/17,20,40,10,3,10,3,396,30,67,111,44,7,33,7,516,204,-0.04582351565669085,2019-04-17 00:00:00
ABT_513,2015/7/22,19,52,20,5,12,3,504,30,77,100,67,3,25,9,342,252,0.024517710246287905,2015-07-22 00:00:00
ABT_181,2013/4/17,25,68,31,3,17,3,738,84,47,100,87,14,41,11,456,300,0.02417574770683251,2013-04-17 00:00:00
ABT_354,2014/7/16,27,61,22,4,23,4,660,54,71,106,48,6,38,4,474,252,-0.002914717931060795,2014-07-16 00:00:00
ABT_691,2019/1/23,20,61,17,5,14,4,540,24,50,138,65,6,31,15,702,258,-0.02210091269929781,2019-01-23 00:00:00
ABT_356,2015/1/29,32,101,30,8,37,5,1206,54,68,162,82,2,25,4,606,234,0.042616873545816995,2015-01-29 00:00:00
ABT_179,2012/10/17,45,212,56,9,95,16,1440,126,60,93,77,3,41,6,630,204,-0.0428393193194252,2012-10-17 00:00:00
ABT_690,2018/10/17,17,32,9,4,13,3,324,18,54,120,51,11,46,4,534,270,-0.010147901652960312,2018-10-17 00:00:00
ABT_688,2018/4/18,12,43,17,4,15,3,348,12,59,124,54,16,33,5,432,144,-0.004682253894133015,2018-04-18 00:00:00
ABT_355,2014/10/22,21,48,25,3,21,3,600,42,72,164,57,7,42,12,450,300,-0.01887235783390706,2014-10-22 00:00:00
ABT_695,2020/1/22,16,45,18,6,7,3,372,24,60,170,41,2,31,1,624,354,0.023737848810114537,2020-01-22 00:00:00
ABT_517,2016/7/20,14,28,12,3,11,3,366,18,75,103,76,5,38,4,318,312,0.020334983357242157,2016-07-20 00:00:00
ABT_357,2015/4/22,22,63,22,3,19,3,732,54,50,182,68,9,38,9,462,378,0.026103556241891646,2015-04-22 00:00:00
ABT_351,2013/10/16,33,63,31,3,18,7,942,24,107,157,88,5,58,12,894,354,0.06496595968212282,2013-10-16 00:00:00
ABT_519,2017/1/25,25,69,19,4,24,4,504,30,60,90,68,8,30,0,534,234,0.0,2017-01-25 00:00:00
ABT_687,2018/1/24,23,79,17,7,14,4,438,24,77,147,46,10,28,3,708,198,0.042039535669609496,2018-01-24 00:00:00
ABT_176,2012/1/25,28,118,70,5,22,5,1218,60,47,80,49,2,28,3,510,168,-0.01339763973163388,2012-01-25 00:00:00
ABT_515,2016/1/28,31,81,24,7,24,3,828,84,78,100,83,10,20,13,438,306,-0.09290837713903932,2016-01-28 00:00:00
ABT_522,2017/10/18,15,39,16,4,8,4,330,12,58,107,45,9,29,3,402,234,0.012895006661170605,2017-10-18 00:00:00
ABT_693,2019/7/17,12,37,14,5,9,3,336,24,66,135,53,4,53,2,666,264,0.03126501153950456,2019-07-17 00:00:00
ABT_177,2012/4/18,38,102,37,4,24,5,750,78,28,66,30,2,23,1,330,198,0.0004964025942133522,2012-04-18 00:00:00
ABT_180,2013/1/23,21,80,41,6,34,3,1122,66,59,97,67,3,44,6,756,192,-0.002735566821086555,2013-01-23 00:00:00
ABT_350,2013/7/17,35,73,32,3,22,4,768,54,90,131,74,8,39,5,510,246,0.003361314546786787,2013-07-17 00:00:00
ABT_520,2017/4/19,19,31,15,5,11,3,324,24,91,136,75,14,40,7,426,204,0.0036840857998576846,2017-04-19 00:00:00
ABT_694,2019/10/16,9,32,15,4,9,3,354,18,64,156,52,6,18,4,636,246,-0.0024396751579274234,2019-10-16 00:00:00
ACN_723,2014/6/26,13,76,25,1,17,3,972,114,40,133,47,8,29,5,558,288,-0.018420404819029183,2014-06-26 00:00:00
ACN_670,2018/3/22,12,77,26,3,16,3,1122,66,38,87,42,16,30,1,522,204,-0.0728260392560438,2018-03-22 00:00:00
ACN_677,2019/12/19,13,87,16,0,18,3,876,72,36,100,35,0,25,1,714,360,0.012344520862812793,2019-12-19 00:00:00
ACN_497,2015/9/24,17,63,22,0,17,2,1140,54,48,100,71,5,36,10,912,252,-0.0009197217118720457,2015-09-24 00:00:00
ACN_665,2016/12/21,18,75,20,1,14,4,942,42,47,97,63,5,23,3,528,180,-0.04995968593452549,2016-12-21 00:00:00
ACN_727,2013/6/27,40,84,48,7,20,6,1218,228,48,70,52,20,32,4,486,312,0.008295672226778185,2013-06-27 00:00:00
ACN_340,2012/3/22,18,87,23,5,11,2,1152,162,46,76,30,9,26,0,438,264,-0.003607835956648264,2012-03-22 00:00:00
ACN_667,2017/6/22,16,71,27,3,17,2,1068,36,44,103,49,3,37,3,744,228,-0.039572014437448184,2017-06-22 00:00:00
ACN_495,2015/3/26,19,66,35,3,26,2,990,66,41,111,50,10,26,2,636,258,0.0675660259191837,2015-03-26 00:00:00
ACN_662,2016/3/24,20,82,24,3,20,3,1062,54,65,88,44,0,19,1,816,264,0.061675637783629174,2016-03-24 00:00:00
ACN_724,2014/3/27,19,53,36,2,27,3,888,96,44,115,68,23,38,1,630,192,-0.050259106997636034,2014-03-27 00:00:00
ACN_726,2013/9/26,18,62,29,1,17,3,942,102,37,123,72,3,43,4,678,348,-0.003284287847864387,2013-09-26 00:00:00
ACN_342,2012/9/27,26,95,26,7,24,4,1266,162,48,69,51,12,28,3,408,294,0.01600619741601239,2012-09-27 00:00:00
