Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
AAP_619,2018/5/22,125,341,75,2,53,8
AAP_707,2020/2/18,71,240,52,6,31,15
AAP_615,2017/5/24,111,258,68,5,46,12
AAP_617,2017/11/14,146,276,81,2,54,3
AAP_710,2019/5/22,76,220,63,2,43,15
AAP_621,2018/11/13,112,311,55,3,49,7
AAP_804,2012/11/8,95,153,89,4,61,12
AAP_614,2017/2/21,113,298,45,4,52,8
AAP_610,2016/2/11,112,214,66,2,88,11
AAP_288,2012/5/17,83,168,82,5,46,9
AAP_287,2012/2/16,59,204,70,2,45,10
AAP_620,2018/8/14,106,332,79,1,69,15
AAP_708,2019/11/12,89,284,64,2,46,10
AAP_806,2013/5/23,85,196,75,3,53,11
AAP_732,2014/2/6,49,228,56,5,77,10
AAP_808,2013/10/31,80,190,74,3,55,14
AAP_618,2018/2/21,102,269,63,4,83,15
AAP_613,2016/11/15,140,402,101,5,87,16
AAP_451,2015/5/21,94,188,73,4,63,20
AAP_289,2012/8/9,114,133,77,5,44,7
AAP_612,2016/8/16,140,248,59,4,67,4
AAP_609,2015/11/12,128,229,84,3,72,13
AAP_622,2019/2/19,70,207,42,4,38,7
AAP_805,2013/2/7,86,215,84,2,68,7
AAP_449,2014/11/6,56,220,54,2,52,7
AAP_709,2019/8/13,112,245,86,7,40,13
AAP_731,2014/5/15,57,265,59,4,37,5
AAPL_3022,2016/4/26,76,138,63,3,46,11
AAPL_3034,2019/4/30,57,151,42,7,54,8
AAPL_3025,2017/1/31,55,175,51,9,32,9
AAPL_3036,2019/10/30,55,177,68,2,53,10
AAPL_2876,2014/1/27,44,168,36,3,30,7
AAPL_2878,2014/7/22,48,142,50,7,31,3
AAPL_2872,2013/1/23,77,154,72,6,51,17
AAPL_3027,2017/8/1,50,151,84,7,41,11
AAPL_2879,2014/10/20,55,161,64,4,59,11
AAPL_3030,2018/5/1,43,159,71,2,40,4
AAPL_2873,2013/4/23,66,178,57,3,54,6
AAPL_2869,2012/4/24,62,138,73,6,38,10
AAPL_2870,2012/7/24,60,140,71,5,45,8
AAPL_2868,2012/1/24,37,124,52,0,33,3
AAPL_2877,2014/4/23,51,180,64,4,46,5
AAPL_3019,2015/7/21,58,182,54,2,44,4
AAPL_2871,2012/10/25,73,139,62,4,57,11
AAPL_3021,2016/1/26,95,149,71,3,44,5
AAPL_2880,2015/1/27,49,157,71,6,34,6
AAPL_3032,2018/11/1,40,147,52,2,46,6
AAPL_3028,2017/11/2,40,165,59,2,44,5
AAPL_3020,2015/10/27,60,142,57,3,38,4
AAPL_3023,2016/7/26,53,162,52,1,48,4
AAPL_3031,2018/7/31,51,142,65,2,48,10
AAPL_3024,2016/10/25,49,160,63,1,36,7
AAPL_3029,2018/2/1,41,122,59,8,45,8
AAPL_2875,2013/10/28,47,169,52,4,47,9
AAPL_3026,2017/5/2,46,161,67,8,24,8
AAPL_3037,2020/1/28,51,129,38,3,49,9
ABBV_503,2015/7/24,91,210,104,33,61,8
ABBV_501,2015/1/30,68,179,85,50,66,16
ABBV_512,2017/10/27,134,281,110,40,90,18
ABBV_345,2013/4/26,100,121,82,14,27,7
ABBV_502,2015/4/23,114,203,107,22,86,24
ABBV_683,2019/4/25,108,173,85,13,53,9
ABBV_684,2019/7/26,98,156,115,20,50,7
ABBV_681,2018/11/2,73,160,88,18,69,8
ABBV_499,2014/7/25,15,56,18,5,10,3
ABBV_505,2016/1/29,109,157,127,40,40,11
ABBV_349,2014/4/25,100,126,82,13,48,14
ABBV_346,2013/7/26,77,109,75,12,39,13
ABBV_348,2014/1/31,75,158,67,11,40,13
ABBV_511,2017/7/28,115,194,103,39,64,11
ABBV_508,2016/10/28,85,171,99,31,60,13
ABBV_680,2018/7/27,94,214,91,28,62,18
ABBV_507,2016/7/29,99,251,113,22,62,13
ABBV_686,2020/2/7,105,196,119,12,71,6
ABBV_506,2016/4/29,97,234,116,11,72,17
ABBV_678,2018/1/26,54,193,94,30,74,11
ABBV_510,2017/4/27,116,209,98,30,47,8
ABBV_682,2019/1/25,83,123,122,19,49,12
ABBV_504,2015/10/30,159,242,189,68,101,24
ABBV_347,2013/10/25,100,167,76,9,43,8
ABBV_685,2019/11/1,93,175,73,16,36,8
ABC_2116,2017/11/2,103,171,75,18,86,11
ABC_2106,2015/4/30,44,206,69,15,70,15
ABC_2274,2018/2/6,84,229,91,20,75,15
ABC_1746,2012/1/26,58,145,66,25,34,4
ABC_1930,2013/4/25,107,171,118,34,96,13
ABC_2277,2018/11/6,84,237,56,20,80,25
ABC_2113,2017/1/31,67,199,99,20,51,11
ABC_2276,2018/8/2,66,179,77,20,64,10
ABC_1931,2013/7/24,79,188,87,50,88,9
ABC_1929,2013/1/24,66,176,76,45,60,9
ABC_1937,2015/1/28,47,243,72,16,70,6
ABC_2279,2019/5/2,72,212,61,22,52,13
ABC_2108,2015/10/29,58,212,79,28,85,18
ABC_2111,2016/8/2,60,180,83,20,74,7
ABC_1932,2013/10/31,88,197,89,36,72,9
ABC_2282,2020/1/30,92,195,54,31,58,13
ABC_2109,2016/2/5,69,211,84,44,62,15
ABC_2280,2019/8/1,69,238,45,15,37,8
ABC_1747,2012/4/26,64,166,105,30,54,5
ABC_1936,2014/10/30,39,190,71,11,65,11
ABC_2115,2017/8/3,90,232,101,15,67,10
ABC_2278,2019/1/31,70,177,73,30,45,9
ABC_2110,2016/5/5,104,164,86,29,94,13
ABC_1748,2012/7/26,72,170,112,19,51,7
ABC_2275,2018/5/2,84,232,71,26,69,12
ABC_2114,2017/5/4,80,238,72,15,47,11
ABC_2112,2016/11/2,89,197,97,50,77,12
ABC_1934,2014/4/24,51,209,57,20,62,8
ABC_2107,2015/7/23,52,205,69,12,54,8
ABT_521,2017/7/20,81,134,73,20,58,13
ABT_516,2016/4/20,61,122,58,7,28,14
ABT_352,2014/1/22,116,216,101,10,83,12
ABT_689,2018/7/18,88,216,61,15,70,8
ABT_692,2019/4/17,87,151,54,10,43,10
ABT_513,2015/7/22,96,152,87,8,37,12
ABT_181,2013/4/17,72,168,118,17,58,14
ABT_354,2014/7/16,98,167,70,10,61,8
ABT_691,2019/1/23,70,199,82,11,45,19
ABT_356,2015/1/29,100,263,112,10,62,9
ABT_179,2012/10/17,105,305,133,12,136,22
ABT_690,2018/10/17,71,152,60,15,59,7
ABT_688,2018/4/18,71,167,71,20,48,8
ABT_355,2014/10/22,93,212,82,10,63,15
ABT_695,2020/1/22,76,215,59,8,38,4
ABT_517,2016/7/20,89,131,88,8,49,7
ABT_357,2015/4/22,72,245,90,12,57,12
ABT_351,2013/10/16,140,220,119,8,76,19
ABT_519,2017/1/25,85,159,87,12,54,4
ABT_687,2018/1/24,100,226,63,17,42,7
ABT_176,2012/1/25,75,198,119,7,50,8
ABT_515,2016/1/28,109,181,107,17,44,16
ABT_522,2017/10/18,73,146,61,13,37,7
ABT_693,2019/7/17,78,172,67,9,62,5
ABT_177,2012/4/18,66,168,67,6,47,6
ABT_180,2013/1/23,80,177,108,9,78,9
ABT_350,2013/7/17,125,204,106,11,61,9
ABT_520,2017/4/19,110,167,90,19,51,10
ABT_694,2019/10/16,73,188,67,10,27,7
ACN_723,2014/6/26,53,209,72,9,46,8
ACN_670,2018/3/22,50,164,68,19,46,4
ACN_677,2019/12/19,49,187,51,0,43,4
ACN_497,2015/9/24,65,163,93,5,53,12
ACN_665,2016/12/21,65,172,83,6,37,7
ACN_727,2013/6/27,88,154,100,27,52,10
ACN_340,2012/3/22,64,163,53,14,37,2
ACN_667,2017/6/22,60,174,76,6,54,5
ACN_495,2015/3/26,60,177,85,13,52,4
ACN_662,2016/3/24,85,170,68,3,39,4
ACN_724,2014/3/27,63,168,104,25,65,4
ACN_726,2013/9/26,55,185,101,4,60,7
ACN_342,2012/9/27,74,164,77,19,52,7
ACN_498,2015/12/17,64,146,86,4,43,4
ACN_344,2013/3/28,70,186,71,12,63,7
ACN_725,2013/12/19,49,145,84,8,49,8
ACN_672,2018/9/27,54,155,80,6,42,5
ACN_675,2019/6/27,63,173,68,6,45,5
ACN_669,2017/12/21,44,189,74,9,42,7
ACN_343,2012/12/19,71,155,69,19,53,6
ACN_664,2016/9/29,58,178,98,3,54,4
ACN_676,2019/9/26,63,137,53,4,35,7
ACN_721,2014/12/18,75,185,74,21,43,7
ACN_722,2014/9/24,41,185,78,12,65,6
ACN_663,2016/6/23,56,192,81,3,61,7
ACN_666,2017/3/23,66,185,71,10,62,7
ACN_671,2018/6/28,59,206,59,9,48,4
ADBE_469,2016/3/17,49,208,61,0,40,10
ADBE_632,2019/6/18,48,218,53,3,33,7
ADBE_631,2019/3/14,58,227,81,4,31,12
ADBE_628,2018/6/14,60,226,66,6,41,9
ADBE_305,2012/9/19,35,194,77,3,71,3
ADBE_468,2015/12/10,62,238,74,6,35,8
ADBE_464,2014/9/16,50,224,65,14,41,5
ADBE_461,2013/12/12,67,226,73,9,47,3
ADBE_472,2016/12/15,62,246,72,4,49,6
ADBE_304,2012/6/19,54,139,63,6,43,6
ADBE_625,2017/9/19,64,254,68,4,60,6
ADBE_634,2019/12/12,39,223,77,0,37,8
ADBE_473,2017/3/16,47,164,50,3,51,6
ADBE_462,2014/3/18,44,181,50,6,58,1
ADBE_467,2015/9/18,57,256,81,13,54,6
ADBE_460,2013/9/17,50,167,57,8,33,4
ADBE_624,2017/6/20,54,197,61,3,46,5
ADBE_458,2013/3/19,42,192,58,6,46,5
ADBE_465,2015/3/17,64,179,49,3,43,3
ADBE_466,2015/6/16,51,273,61,0,52,4
ADBE_630,2018/12/13,56,205,83,4,46,7
ADBE_303,2012/3/19,54,173,68,3,58,4
ADBE_306,2012/12/13,40,221,107,9,70,4
ADBE_633,2019/9/17,56,213,73,2,39,7
ADBE_626,2017/12/14,46,220,68,2,56,4
ADBE_471,2016/9/20,53,213,61,3,44,6
ADBE_470,2016/6/21,53,158,56,4,35,5
ADI_2210,2016/2/17,92,138,106,1,49,12
ADI_2226,2020/2/19,80,127,63,6,32,11
ADI_2217,2017/11/21,42,115,32,2,29,5
ADI_2075,2015/11/24,125,194,93,1,60,8
ADI_2072,2015/2/18,99,186,105,2,43,10
ADI_1875,2013/2/19,79,120,110,1,38,18
ADI_1878,2013/11/26,99,163,120,5,60,10
ADI_2223,2019/5/22,79,109,67,1,23,13
ADI_2221,2018/11/20,78,141,50,1,39,5
ADI_2068,2014/2/18,69,130,94,6,39,8
ADI_2071,2014/11/25,92,143,90,3,67,7
ADI_1874,2012/11/27,104,105,131,4,44,14
ADI_2218,2018/2/28,82,164,54,2,26,6
ADI_2220,2018/8/22,56,122,43,0,37,10
ADI_2212,2016/8/17,127,218,94,6,54,7
ADI_2224,2019/8/21,93,109,55,5,43,11
ADI_2073,2015/5/19,110,171,84,2,38,12
ADI_2216,2017/8/30,47,130,57,3,26,4
ADI_2222,2019/2/20,78,114,59,2,40,10
ADI_2214,2017/2/15,91,238,86,3,47,8
ADI_2211,2016/5/18,94,135,103,2,55,11
ADI_2215,2017/5/31,66,196,78,1,66,6
ADI_2069,2014/5/20,84,153,89,3,54,10
ADI_2074,2015/8/18,129,177,97,1,56,18
ADI_1876,2013/5/21,101,181,98,2,55,14
ADI_1872,2012/5/22,72,108,114,4,48,7
ADI_2213,2016/11/22,120,185,86,1,44,4
ADI_1877,2013/8/20,96,161,131,5,49,16
ADI_1871,2012/2/22,90,98,105,2,54,12
ADM_2993,2017/10/31,80,140,83,7,65,12
ADM_2680,2013/5/1,98,125,77,14,70,13
ADM_2682,2013/10/29,81,174,107,10,65,18
ADM_2542,2012/1/31,177,147,113,10,65,22
ADM_2998,2019/2/5,87,195,94,8,62,5
ADM_2849,2016/11/1,83,169,61,7,40,12
ADM_2684,2014/4/29,135,172,101,8,58,11
ADM_2686,2014/11/4,103,200,94,2,42,9
ADM_2846,2016/2/2,150,194,121,4,70,8
ADM_2687,2015/2/3,129,241,103,3,60,9
ADM_2995,2018/5/1,75,245,92,8,83,12
ADM_2996,2018/7/31,84,231,93,4,70,11
ADM_2848,2016/8/2,104,156,87,1,47,13
ADM_2847,2016/5/3,124,194,122,6,55,9
ADM_2843,2015/5/5,92,189,95,5,64,12
ADM_2844,2015/8/4,82,156,65,3,49,10
ADM_2677,2012/7/31,107,85,90,16,57,14
ADM_2994,2018/2/6,86,210,82,10,69,5
ADM_3001,2019/10/31,109,168,109,5,103,11
ADM_2997,2018/11/6,80,229,102,4,80,7
ADM_2851,2017/5/2,99,198,104,1,68,12
ADM_2371,2012/5/1,91,109,98,9,78,8
ADM_2683,2014/2/4,137,183,101,14,56,21
ADM_2681,2013/8/6,112,160,105,12,83,8
ADM_2685,2014/8/5,72,177,83,5,49,5
ADM_3000,2019/8/1,105,158,92,3,66,8
ADM_2852,2017/8/1,77,279,110,7,82,8
ADM_2999,2019/4/26,127,205,118,10,109,16
ADM_3002,2020/1/30,68,184,79,9,87,8
ADP_2786,2016/11/2,100,211,83,10,40,8
ADP_2640,2014/10/29,122,251,103,9,48,12
ADP_2784,2016/4/29,78,115,78,4,33,8
ADP_2782,2015/10/28,93,174,97,7,57,17
ADP_2630,2012/1/25,167,232,128,4,40,12
ADP_2938,2018/1/31,89,239,146,10,59,8
ADP_2785,2016/7/29,91,163,91,6,55,13
ADP_2942,2019/5/1,80,223,88,9,59,7
ADP_2943,2019/7/31,105,281,120,11,46,11
ADP_2635,2013/8/1,167,321,150,7,42,13
ADP_2639,2014/7/31,105,239,148,12,62,10
ADP_2783,2016/2/3,80,142,82,5,45,15
ADP_2636,2013/10/30,151,220,102,3,50,5
ADP_2632,2012/11/1,177,205,100,9,46,16
ADP_2790,2017/11/2,94,222,88,7,57,5
ADP_2637,2014/2/5,149,294,111,17,44,10
ADP_2944,2019/10/30,88,229,99,16,27,7
ADP_2638,2014/4/30,128,262,118,8,82,28
ADP_2781,2015/7/30,113,216,117,3,58,28
ADP_2642,2015/4/30,91,238,117,7,34,12
ADP_2941,2018/10/31,86,298,108,8,40,2
ADP_2631,2012/5/1,160,270,135,14,62,12
ADP_2940,2018/8/1,100,235,117,10,50,3
ADP_2633,2013/2/5,182,275,147,5,49,5
ADP_2641,2015/2/4,121,296,159,10,45,8
ADP_2788,2017/5/3,146,174,130,14,52,14
ADP_2939,2018/5/2,100,248,99,3,51,7
ADS_1209,2014/10/16,85,167,75,4,51,6
ADS_1202,2013/1/31,84,116,95,8,69,5
ADS_1614,2012/7/19,103,127,82,4,69,8
ADS_1206,2014/2/6,81,150,83,4,43,5
ADS_1361,2015/10/22,66,159,65,6,36,2
ADS_1205,2013/10/17,55,146,85,5,35,3
ADS_1362,2016/1/28,78,134,80,3,40,7
ADS_1519,2018/7/19,147,98,99,3,34,8
ADS_1367,2017/4/20,112,119,74,4,40,4
ADS_1204,2013/7/30,72,127,100,4,46,8
ADS_1203,2013/4/18,69,160,81,3,75,2
ADS_1365,2016/10/20,165,131,85,7,82,6
ADS_1368,2017/7/20,133,113,66,2,42,3
ADS_1523,2019/7/18,87,143,88,4,40,8
ADS_1207,2014/4/17,69,142,102,8,67,3
ADS_1516,2017/10/19,152,115,68,6,32,4
ADS_1364,2016/7/21,98,165,79,15,30,4
ADS_1613,2012/10/18,67,184,101,4,65,10
ADS_1616,2012/2/2,67,143,72,10,73,5
ADS_1615,2012/4/19,82,149,93,3,64,9
ADS_1522,2019/4/25,95,107,76,2,47,4
ADS_1521,2019/2/7,113,96,75,4,43,3
ADS_1517,2018/1/25,126,142,105,5,58,5
ADS_1363,2016/4/21,146,139,89,9,49,8
ADS_1524,2019/10/24,110,135,70,2,58,14
ADS_1518,2018/4/19,120,84,89,5,44,3
ADS_1208,2014/7/17,73,137,82,8,63,6
ADS_1210,2015/2/5,74,108,86,6,66,4
ADS_1212,2015/7/23,68,142,85,2,41,9
ADSK_3046,2018/8/23,74,156,50,1,57,11
ADSK_2653,2013/2/25,91,179,104,1,46,10
ADSK_2656,2013/11/21,68,108,70,9,43,1
ADSK_2793,2014/8/14,99,130,71,19,40,3
ADSK_2797,2015/8/28,81,122,101,9,62,3
ADSK_3041,2019/11/26,60,158,59,10,40,17
ADSK_2652,2012/11/15,103,142,79,3,36,10
ADSK_3043,2019/5/23,68,179,65,6,22,5
ADSK_2949,2017/5/18,82,147,77,7,50,11
ADSK_2650,2012/5/17,79,120,98,1,36,6
ADSK_2791,2014/2/26,81,144,73,11,50,3
ADSK_2792,2014/5/16,67,164,77,7,55,6
ADSK_2800,2016/5/20,65,116,81,5,77,5
ADSK_3047,2018/5/25,85,150,76,2,38,10
ADSK_3044,2019/2/28,70,161,78,5,43,9
ADSK_2795,2015/2/27,65,136,76,9,82,4
ADSK_3045,2018/11/20,58,177,69,4,52,14
ADSK_2796,2015/5/20,102,116,106,3,57,8
ADSK_2798,2015/11/19,70,121,79,3,60,8
ADSK_2946,2016/8/25,80,116,65,9,66,5
ADSK_2655,2013/8/22,82,156,72,12,41,7
ADSK_2952,2018/3/6,81,114,76,6,74,9
ADSK_2651,2012/8/23,158,94,74,3,43,6
ADSK_2950,2017/8/24,96,134,54,7,65,11
ADSK_2794,2014/11/20,69,106,68,13,53,3
ADSK_2947,2016/11/29,75,93,63,4,55,5
ADSK_3042,2019/8/27,116,170,71,3,33,11
ADSK_2649,2012/2/23,65,140,70,2,45,5
AEE_1313,2016/2/19,123,169,98,77,64,9
AEE_1125,2013/2/20,105,102,102,81,44,19
AEE_1312,2015/11/6,84,141,66,40,73,7
AEE_1127,2013/8/1,106,96,84,93,52,14
AEE_1462,2019/5/9,51,97,59,32,40,9
AEE_990,2012/11/9,106,104,86,55,38,27
AEE_988,2012/5/4,120,103,105,55,50,47
AEE_1316,2016/11/4,42,107,45,31,35,8
AEE_1318,2017/5/4,80,126,73,87,80,10
AEE_1314,2016/5/11,94,104,94,69,48,7
AEE_1590,2017/11/3,78,138,66,76,78,19
AEE_1315,2016/8/5,68,119,60,41,39,7
AEE_1132,2014/11/6,62,105,69,37,34,8
AEE_1458,2018/5/9,40,82,62,50,34,11
AEE_1461,2019/2/14,57,199,91,24,46,13
AEE_987,2012/2/23,123,128,104,56,45,23
AEE_1589,2018/2/16,67,151,75,46,42,13
AEE_1134,2015/5/7,84,104,76,54,58,8
AEE_989,2012/8/2,103,115,88,67,44,28
AEE_1459,2018/8/3,64,157,65,51,53,4
AEE_1126,2013/5/3,134,120,120,98,39,10
AEE_1463,2019/8/2,74,124,56,29,40,13
AEE_1319,2017/8/4,61,122,52,51,50,10
AEE_1464,2019/11/8,69,133,61,58,48,7
AEE_1317,2017/2/16,67,147,47,42,50,11
AEE_1129,2014/2/21,124,181,90,64,62,7
AEE_1460,2018/10/31,59,223,81,40,67,9
AEE_1128,2013/11/7,87,106,76,37,43,7
AEP_1292,2016/7/28,105,108,69,61,51,2
AEP_1295,2017/7/27,64,141,71,58,41,6
AEP_1444,2019/1/24,79,137,65,37,49,7
AEP_1112,2013/10/23,115,131,68,31,59,13
AEP_1114,2014/4/25,84,180,86,35,56,8
AEP_1447,2019/10/24,65,162,66,40,33,8
AEP_1297,2018/1/25,79,150,86,61,70,9
AEP_1117,2015/1/28,57,179,68,38,42,11
AEP_1106,2012/4/20,68,109,95,36,27,22
AEP_1443,2018/10/25,51,130,77,53,48,6
AEP_1118,2015/4/23,98,151,64,33,64,5
AEP_1289,2015/10/22,103,146,109,66,103,12
AEP_1119,2015/7/23,93,157,101,27,85,14
AEP_1291,2016/4/29,108,140,99,48,45,5
AEP_1293,2017/1/26,95,123,89,65,47,7
AEP_1107,2012/7/20,91,101,69,49,42,13
AEP_1113,2014/1/27,104,182,79,31,50,5
AEP_1442,2018/7/25,84,140,72,42,53,11
AEP_1290,2016/1/28,87,152,73,52,63,6
AEP_1116,2014/10/23,105,129,80,44,69,11
AEP_1441,2018/4/26,65,169,103,76,41,2
AEP_1445,2019/4/25,67,94,36,31,27,9
AEP_1109,2013/2/15,139,283,161,109,85,46
AEP_1446,2019/7/25,79,151,67,58,62,7
AEP_1296,2017/10/26,56,103,52,18,28,2
AEP_1111,2013/7/25,110,140,68,26,56,13
AEP_1115,2014/7/25,80,141,63,21,44,16
AES_600,2018/2/27,76,114,69,29,56,18
AES_272,2012/2/27,65,139,90,11,56,23
AES_604,2019/2/27,39,117,65,13,46,8
AES_801,2017/5/8,58,119,65,27,51,12
AES_275,2012/11/7,72,108,82,27,69,14
AES_444,2016/2/24,73,106,68,9,51,6
AES_277,2013/8/8,70,112,93,28,42,18
AES_803,2017/11/2,65,119,41,32,69,15
AES_605,2019/5/7,53,101,66,27,28,9
AES_602,2018/8/7,43,120,81,32,53,9
AES_276,2013/2/27,67,127,91,45,50,30
AES_273,2012/5/4,50,97,77,26,41,9
AES_442,2015/8/10,81,173,96,29,58,18
AES_278,2013/11/7,60,121,89,28,65,18
AES_281,2014/8/7,78,116,98,36,42,13
AES_800,2017/2/27,83,156,75,32,70,11
AES_447,2016/11/4,69,129,77,53,71,15
AES_606,2019/8/6,55,125,39,27,46,7
AES_802,2017/8/8,71,109,58,24,60,19
AES_274,2012/8/6,84,137,86,32,61,19
AES_607,2019/11/6,48,104,60,32,51,10
AES_439,2014/11/6,105,112,111,28,58,19
AES_446,2016/8/5,64,124,71,32,44,18
AES_603,2018/11/6,35,104,66,26,53,7
AES_279,2014/2/26,64,122,113,21,72,15
AES_441,2015/5/11,68,121,57,14,23,19
AES_445,2016/5/9,63,114,68,29,59,11
AET_595,2016/10/27,148,159,99,18,42,7
AET_597,2017/5/2,77,162,102,6,38,3
AET_434,2014/2/6,82,165,104,9,59,8
AET_261,2012/7/31,73,160,89,17,64,12
AET_438,2015/2/3,68,192,116,21,46,11
AET_594,2016/8/2,129,164,141,18,49,11
AET_437,2014/10/28,94,159,156,15,65,3
AET_264,2013/4/30,56,175,87,15,55,9
AET_589,2015/4/28,71,136,78,21,30,8
AET_435,2014/4/24,83,188,95,11,59,10
AET_598,2017/8/3,74,177,90,9,45,3
AET_596,2017/1/31,119,179,114,34,53,8
AET_258,2012/4/26,74,158,116,23,38,5
AET_263,2013/1/31,99,199,105,26,81,7
AET_432,2013/7/30,34,145,92,10,61,7
AET_591,2015/10/29,73,160,109,9,64,4
AET_599,2017/10/31,96,186,70,13,70,5
AET_590,2015/8/4,92,188,143,13,66,8
AET_262,2012/10/25,52,159,83,21,56,5
AET_436,2014/7/29,74,177,148,16,61,11
AET_593,2016/4/29,95,152,127,22,43,8
AFL_234,2014/4/30,106,114,115,9,55,7
AFL_228,2012/10/24,102,176,128,14,47,11
AFL_227,2012/7/25,109,151,108,13,71,13
AFL_574,2019/7/26,98,157,78,14,46,8
AFL_414,2017/10/26,69,134,69,8,42,11
AFL_229,2013/2/6,112,183,105,9,52,11
AFL_406,2015/10/28,67,182,102,18,54,12
AFL_413,2017/7/28,85,166,74,13,53,6
AFL_410,2016/10/28,72,150,102,6,59,17
AFL_232,2013/10/30,71,122,113,17,83,17
AFL_569,2018/4/26,93,150,99,19,46,9
AFL_405,2015/7/29,84,157,94,9,43,9
AFL_575,2019/10/25,89,104,58,12,37,8
AFL_576,2020/2/5,83,182,83,8,67,9
AFL_408,2016/4/27,98,147,89,9,70,8
AFL_412,2017/4/28,86,161,111,7,60,14
AFL_403,2015/2/4,97,135,110,22,81,9
AFL_409,2016/7/29,99,134,99,18,67,16
AFL_231,2013/7/31,79,94,103,8,59,6
AFL_411,2017/2/1,88,152,84,4,56,7
AFL_233,2014/2/5,97,111,95,4,51,5
AFL_230,2013/4/25,90,114,119,17,40,9
AFL_570,2018/7/27,84,169,90,9,67,11
AFL_568,2018/2/1,60,166,81,24,59,14
AFL_404,2015/4/29,63,112,87,17,72,4
AFL_407,2016/2/2,113,151,126,11,48,9
AFL_401,2014/7/30,80,141,104,13,110,6
AFL_751,2012/2/1,175,202,174,14,67,33
AFL_573,2019/4/26,69,137,76,13,60,15
AGN_1226,2015/11/4,103,141,73,10,46,17
AGN_1215,2013/10/29,98,160,92,14,61,8
AGN_1372,2017/2/8,112,196,107,11,68,18
AGN_1068,2012/8/1,109,142,108,13,69,6
AGN_1531,2019/5/7,106,179,86,17,81,22
AGN_1213,2013/7/31,100,141,117,10,66,11
AGN_1530,2019/1/29,132,158,81,12,60,25
AGN_1527,2018/4/30,153,220,120,11,91,32
AGN_1221,2014/10/27,94,116,89,7,53,9
AGN_1071,2013/2/5,78,125,94,15,58,5
AGN_1218,2014/5/7,79,136,84,16,54,3
AGN_1371,2016/11/2,119,182,82,20,48,12
AGN_1225,2015/8/6,102,180,59,9,79,21
AGN_1612,2012/2/2,93,162,111,5,71,4
AGN_1069,2012/10/30,98,153,89,12,59,19
AGN_1369,2016/5/10,107,267,110,17,79,27
AGN_1528,2018/7/26,126,224,88,10,44,22
AGN_1373,2017/5/9,94,176,88,31,56,15
AGN_1529,2018/10/30,108,162,86,8,49,12
AGN_1224,2015/5/11,117,170,76,14,50,21
AGN_1375,2017/11/1,142,167,104,20,94,24
AGN_1227,2016/2/22,76,164,72,19,51,5
AGN_1526,2018/2/6,149,192,127,19,68,32
AGN_1219,2014/7/21,105,139,118,18,61,13
AGN_1374,2017/8/3,153,254,138,23,53,22
AGN_1216,2014/2/5,75,139,104,12,79,6
AIG_2139,2017/8/3,134,225,103,13,48,7
AIG_1975,2016/8/3,172,181,116,26,44,14
AIG_1974,2016/5/3,179,183,104,16,54,11
